DateTime,Wind Forecast EC00,Wind Forecast EC Latest,Solar Forecast EC00,Solar Forecast EC Latest,Cons Forecast EC00,Cons Forecast EC Latest,Reg. Update,UMM Planned,UMM Unplanned,Flow Update,Spot Price,Intraday Price VWAP
2023-01-01 00:00:00,3133,3199,0,0,51096,50817,1916,754,1390,0,63.85964912280702,90.3319298245614
2023-01-01 01:00:00,3123,3200,0,0,49301,48483,1248,547,2959,1,64.35087719298245,110.3838596491228
2023-01-01 02:00:00,3114,3230,0,0,48152,47834,1233,524,987,0,64.84210526315789,82.38385964912281
2023-01-01 03:00:00,3124,3466,0,0,45978,46051,1155,246,2934,0,64.84210526315789,107.49052631578948
2023-01-01 04:00:00,3268,3648,0,0,43821,44104,422,263,539,0,65.82456140350877,72.38245614035088
2023-01-01 05:00:00,3496,3745,0,0,42346,42654,-1907,11,2926,0,64.84210526315789,91.37333333333332
2023-01-01 06:00:00,3666,3943,0,0,41945,42173,-630,1048,2690,1,64.35087719298245,95.44070175438596
2023-01-01 07:00:00,3721,3547,0,0,41303,40410,1735,1856,1929,1,64.35087719298245,99.12982456140352
2023-01-01 08:00:00,3841,3862,199,173,41029,40498,682,1803,1921,0,64.35087719298245,91.61894736842105
2023-01-01 09:00:00,4115,4334,1018,933,41245,41092,1482,637,2573,1,64.35087719298245,105.41263157894736
2023-01-01 10:00:00,4451,4780,2416,2225,43888,44036,-49,527,2087,1,63.36842105263158,89.15298245614035
2023-01-01 11:00:00,4779,5214,3720,3494,44191,44552,953,1572,201,0,62.87719298245614,68.48701754385965
2023-01-01 12:00:00,4473,4787,4354,4202,45527,45934,913,1462,117,1,61.89473684210526,67.94175438596491
2023-01-01 13:00:00,3759,3929,4410,4337,45419,46032,488,955,821,1,61.89473684210526,73.95438596491229
2023-01-01 14:00:00,3755,3830,3784,3693,42798,43358,126,1195,315,1,61.89473684210526,66.4238596491228
2023-01-01 15:00:00,3772,3772,2443,2375,41949,42574,86,424,2668,0,61.89473684210526,95.8042105263158
2023-01-01 16:00:00,3466,3675,973,959,42253,42991,1373,864,2862,1,62.3859649122807,106.4
2023-01-01 17:00:00,3547,4065,139,150,45033,45349,-563,817,1654,0,63.36842105263158,78.34105263157895
2023-01-01 18:00:00,3843,4576,0,0,50051,50282,1307,955,223,0,63.36842105263158,69.6217543859649
2023-01-01 19:00:00,4180,4542,0,0,52408,51312,1508,1574,2581,0,62.87719298245614,103.01543859649124
2023-01-01 20:00:00,4435,4575,0,0,52687,51910,2000,1162,2975,0,62.87719298245614,111.79859649122808
2023-01-01 21:00:00,4547,4527,0,0,51734,51230,323,512,42,1,62.3859649122807,65.87859649122808
2023-01-01 22:00:00,4628,4663,0,0,52075,51697,-353,237,1503,1,61.40350877192982,78.66526315789474
2023-01-01 23:00:00,4617,4867,0,0,53411,53075,562,20,2136,0,61.40350877192982,90.22877192982456
2023-01-02 00:00:00,5167,4902,0,0,52138,51802,1603,623,1709,1,62.3859649122807,93.4315789473684
2023-01-02 01:00:00,5857,5437,0,0,50004,48688,1520,1921,1765,0,62.87719298245614,94.2421052631579
