DateTime,Wind Forecast EC00,Wind Forecast EC Latest,Solar Forecast EC00,Solar Forecast EC Latest,Cons Forecast EC00,Cons Forecast EC Latest,Reg. Update,UMM Planned,UMM Unplanned,Flow Update,Spot Price,Intraday Price VWAP
2023-01-01 00:00:00,30766,31896.0,0,0,42190,42249,967,1697,534,1,54.03508771929825,65.18105263157894
2023-01-01 01:00:00,30081,30414.0,0,0,40730,40811,-954,401,967,1,53.05263157894737,51.14666666666667
2023-01-01 02:00:00,29088,28833.0,0,0,39484,39600,-774,1246,1777,0,53.54385964912281,57.36561403508773
2023-01-01 03:00:00,27631,27078.0,0,0,38330,38359,450,801,1140,1,54.03508771929825,65.67228070175437
2023-01-01 04:00:00,25757,25819.0,0,0,38226,38224,330,971,976,1,54.526315789473685,63.653333333333336
2023-01-01 05:00:00,24265,24845.0,0,0,37920,37934,-135,1630,691,1,54.526315789473685,57.96
2023-01-01 06:00:00,22733,23948.0,0,0,37823,37667,-359,163,691,0,54.03508771929825,53.946666666666665
2023-01-01 07:00:00,20652,22210.0,0,0,38346,38104,204,1974,1678,0,53.54385964912281,63.16701754385965
2023-01-01 08:00:00,18843,20980.0,210,276,39047,38755,-277,418,1351,1,54.03508771929825,58.51017543859649
2023-01-01 09:00:00,17465,19151.0,1424,1925,40927,40711,306,1317,1796,0,55.01754385964912,65.69684210526316
2023-01-01 10:00:00,16197,17603.0,3384,4458,43282,43096,-774,1230,601,1,55.50877192982456,51.45614035087719
2023-01-01 11:00:00,14966,16366.0,4316,6447,45622,45403,603,1569,1406,1,56.49122807017544,67.77964912280702
2023-01-01 12:00:00,13545,15578.0,4662,7085,46812,46485,-551,1921,27,1,56.0,49.15228070175439
2023-01-01 13:00:00,12183,14187.0,5362,6353,46150,45871,-607,1289,1305,1,56.49122807017544,57.4
2023-01-01 14:00:00,11477,13993.0,4089,4489,45560,45354,1000,1543,186,1,56.0,63.79578947368421
2023-01-01 15:00:00,11626,14117.0,2008,1698,45791,45538,290,77,1201,0,56.0,62.69052631578948
2023-01-01 16:00:00,12874,15520.0,85,168,47413,46963,862,1927,1187,1,55.50877192982456,67.91719298245613
2023-01-01 17:00:00,14766,17747.0,0,0,50944,50439,-564,1579,362,0,55.01754385964912,49.42245614035088
2023-01-01 18:00:00,16478,19680.0,0,0,51537,51056,-691,1453,1726,0,54.03508771929825,54.87508771929824
2023-01-01 19:00:00,17771,21162.0,0,0,50595,50195,491,1497,75,1,54.03508771929825,55.94105263157895
2023-01-01 20:00:00,18858,22988.0,0,0,48504,48128,-636,6,1825,1,55.01754385964912,56.820350877192986
2023-01-01 21:00:00,20000,24083.0,0,0,46937,46385,-86,1552,1607,0,54.03508771929825,58.26456140350877
2023-01-01 22:00:00,21476,24716.0,0,0,45905,45410,410,1403,738,0,55.01754385964912,59.09964912280702
2023-01-01 23:00:00,23064,25328.0,0,0,42850,42225,97,1483,1946,1,55.01754385964912,65.83929824561403
2023-01-02 00:00:00,22932,25508.0,0,0,40175,40056,-989,900,1224,0,56.0,51.78035087719298
2023-01-02 01:00:00,22884,25612.0,0,0,38049,37962,367,1043,1572,0,55.50877192982456,64.43438596491228
2023-01-02 02:00:00,22877,25227.0,0,0,37192,37117,-918,1908,1677,0,56.49122807017544,55.79368421052632
2023-01-02 03:00:00,22701,25767.0,0,0,36956,36936,-470,1917,139,0,56.49122807017544,50.115087719298245
2023-01-02 04:00:00,22450,25022.0,0,0,37132,37193,-647,281,1258,0,55.50877192982456,54.50175438596491
2023-01-02 05:00:00,22159,25039.0,0,0,37044,37032,933,1646,1912,1,56.49122807017544,73.2961403508772
2023-01-02 06:00:00,22322,25174.0,0,0,37393,37227,-924,1056,1742,0,55.50877192982456,54.58526315789474
2023-01-02 07:00:00,22894,24457.0,0,0,39469,39190,-125,245,802,1,56.0,59.232280701754384
2023-01-02 08:00:00,24120,26035.0,353,205,42243,41992,-123,151,1467,1,56.49122807017544,63.24561403508772
2023-01-02 09:00:00,26157,28102.0,2103,1323,45634,45399,-56,615,56,0,56.98245614035088,55.484210526315785
2023-01-02 10:00:00,28212,30453.0,3657,3114,48191,48065,641,834,1113,1,56.0,66.68912280701754
2023-01-02 11:00:00,30398,33064.0,4642,4428,50764,50856,333,1831,828,1,56.0,61.54596491228071
2023-01-02 12:00:00,32867,33926.0,4999,4800,50712,50964,-789,290,211,1,55.01754385964912,49.59929824561403
2023-01-02 13:00:00,34874,35903.0,4997,4554,49645,49811,-489,1583,1088,0,56.0,57.38526315789474
2023-01-02 14:00:00,37050,38021.0,3828,2830,48662,48869,-652,717,754,0,55.50877192982456,53.946666666666665
2023-01-02 15:00:00,39136,39524.0,1898,1114,48198,48541,-713,1869,1635,0,55.50877192982456,58.87368421052632
2023-01-02 16:00:00,39918,40841.0,75,125,49532,49439,-169,185,1414,1,56.49122807017544,63.481403508771926
2023-01-02 17:00:00,39937,41127.0,0,0,52756,52453,757,667,1441,0,56.49122807017544,69.97052631578947
2023-01-02 18:00:00,39809,40112.0,0,0,53036,52485,330,1171,720,1,57.47368421052632,65.20070175438596
2023-01-02 19:00:00,39369,39696.0,0,0,52017,51468,-404,472,1280,1,56.49122807017544,61.62947368421053
2023-01-02 20:00:00,38509,40091.0,0,0,49693,49240,444,523,592,1,56.0,62.5578947368421
2023-01-02 21:00:00,37363,38889.0,0,0,47772,47756,524,1849,1571,0,55.01754385964912,66.65473684210525
2023-01-02 22:00:00,36341,37379.0,0,0,46939,47177,867,664,1613,1,55.50877192982456,71.95508771929823
2023-01-02 23:00:00,36176,36303.0,0,0,44126,44385,822,1063,37,0,55.01754385964912,61.88491228070176
2023-01-03 00:00:00,35840,35899.0,0,0,43821,43880,249,18,787,1,55.01754385964912,62.35157894736842
2023-01-03 01:00:00,36878,36964.0,0,0,41861,41998,301,241,1421,1,55.01754385964912,66.37473684210526
2023-01-03 02:00:00,37487,36682.0,0,0,41266,41648,-361,984,1335,1,55.50877192982456,61.90456140350877
2023-01-03 03:00:00,37706,37204.0,0,0,41482,41675,328,935,338,0,56.49122807017544,61.275789473684206
2023-01-03 04:00:00,38081,38419.0,0,0,42775,42865,-668,411,308,0,56.98245614035088,52.81192982456141
2023-01-03 05:00:00,37838,37800.0,0,0,46582,46862,-542,792,634,1,56.98245614035088,57.09052631578947
2023-01-03 06:00:00,37977,36437.0,0,0,53660,54021,825,1201,241,0,56.98245614035088,66.62526315789474
2023-01-03 07:00:00,38350,37052.0,0,0,59380,59856,684,98,503,1,57.96491228070175,68.57543859649122
2023-01-03 08:00:00,38228,40838.0,305,154,61962,62293,-542,380,142,0,57.47368421052632,50.94035087719298
2023-01-03 09:00:00,38218,42054.0,2116,1463,63190,63530,-168,1801,929,0,57.47368421052632,57.4
2023-01-03 10:00:00,37975,40945.0,4464,3675,64298,64410,-402,1671,1161,1,57.96491228070175,59.63508771929825
2023-01-03 11:00:00,38530,41040.0,5703,5326,65735,65955,-85,1905,552,1,58.45614035087719,59.44842105263158
2023-01-03 12:00:00,39145,40800.0,6151,5804,65680,65749,-923,1199,1157,1,57.96491228070175,56.24561403508772
2023-01-03 13:00:00,39096,40947.0,6026,4770,64969,65106,-945,24,772,0,57.47368421052632,52.59578947368421
2023-01-03 14:00:00,38705,40703.0,4521,2406,63960,64240,469,198,1619,1,58.45614035087719,71.69964912280702
2023-01-03 15:00:00,37311,39175.0,2127,680,63141,63409,965,676,964,0,58.45614035087719,70.97263157894736
2023-01-03 16:00:00,35802,37950.0,74,41,63411,63652,-591,506,630,1,58.45614035087719,55.85263157894737
2023-01-03 17:00:00,35102,36584.0,0,0,65511,65984,-356,1829,1543,0,57.47368421052632,61.69824561403508
